index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
81,21.078000000000003,Sell,81,20170626,201706260081,23.42,4500.0,143000,600036.SH,201706260022
82,19.1672,Buy,79,20170626,201706260082,479.18,200.0,143000,600519.SH,201706260022
83,27.790200000000002,Buy,83,20170703,201707030083,463.17,300.0,143000,600519.SH,201707030023
84,1.9572,Buy,86,20170703,201707030084,48.93,200.0,143000,601318.SH,201707030023
85,5.6882,Sell,84,20170703,201707030085,40.63,700.0,143000,000651.SZ,201707030023
86,23.52,Sell,85,20170703,201707030086,23.52,5000.0,143000,600036.SH,201707030023
87,0.0,Buy,101010,20170707,101010,0.0,114.82782853127082,200000,600519.SH,101010
88,0.0,Buy,101010,20170705,101010,0.0,4089.758053598256,200000,000651.SZ,101010
89,22.6512,Sell,90,20170710,201707100087,51.48,2200.0,143000,601318.SH,201707100024
90,0.8601076658264061,Buy,88,20170710,201707100088,39.01,110.24194640174392,143000,000651.SZ,201707100024
91,15.844000000000001,Buy,89,20170710,201707100089,23.3,3400.0,143000,600036.SH,201707100024
92,7.667198875615001,Buy,87,20170710,201707100090,450.1,85.17217146872918,143000,600519.SH,201707100024
93,0.0,Buy,101010,20170711,101010,0.0,753.4256667157897,200000,601318.SH,101010
94,36.1912,Buy,91,20170717,201707170091,452.39,400.0,143000,600519.SH,201707170025
95,23.1932,Sell,93,20170717,201707170092,25.21,4600.0,143000,600036.SH,201707170025
96,3.2792000000000003,Sell,92,20170717,201707170093,40.99,400.0,143000,000651.SZ,201707170025
97,13.496887579195624,Sell,94,20170717,201707170094,53.84,1253.4256667157897,143000,601318.SH,201707170025
98,29.400000000000002,Buy,98,20170724,201707240095,52.5,2800.0,143000,601318.SH,201707240026
99,28.8324,Sell,95,20170724,201707240096,480.54,300.0,143000,600519.SH,201707240026
100,5.072,Sell,97,20170724,201707240097,25.36,1000.0,143000,600036.SH,201707240026
101,7.434,Buy,96,20170724,201707240098,41.3,900.0,143000,000651.SZ,201707240026
102,19.3808,Sell,99,20170731,201707310099,484.52,200.0,143000,600519.SH,201707310027
103,2.0844,Sell,102,20170731,201707310100,52.11,200.0,143000,601318.SH,201707310027
104,26.669600000000003,Buy,100,20170731,201707310101,39.22,3400.0,143000,000651.SZ,201707310027
105,7.1652000000000005,Sell,101,20170731,201707310102,25.59,1400.0,143000,600036.SH,201707310027
106,15.168000000000001,Buy,103,20170807,201708070103,37.92,2000.0,143000,000651.SZ,201708070028
107,11.374,Sell,104,20170807,201708070104,25.85,2200.0,143000,600036.SH,201708070028
108,4.1824,Sell,105,20170807,201708070105,52.28,400.0,143000,601318.SH,201708070028
109,27.552,Buy,108,20170814,201708140106,24.6,5600.0,143000,600036.SH,201708140029
110,20.18,Buy,109,20170814,201708140107,50.45,2000.0,143000,601318.SH,201708140029
111,29.7828,Sell,106,20170814,201708140108,496.38,300.0,143000,600519.SH,201708140029
112,13.2056,Sell,107,20170814,201708140109,38.84,1700.0,143000,000651.SZ,201708140029
113,7.760000000000001,Buy,111,20170821,201708210110,38.8,1000.0,143000,000651.SZ,201708210030
114,19.5896,Buy,110,20170821,201708210111,489.74,200.0,143000,600519.SH,201708210030
115,27.8408,Sell,113,20170821,201708210112,53.54,2600.0,143000,601318.SH,201708210030
116,5.5572,Sell,112,20170821,201708210113,25.26,1100.0,143000,600036.SH,201708210030
117,13.6068,Buy,115,20170828,201708280114,40.02,1700.0,143000,000651.SZ,201708280031
118,29.6172,Buy,114,20170828,201708280115,493.62,300.0,143000,600519.SH,201708280031
119,14.796600000000002,Sell,117,20170828,201708280116,56.91,1300.0,143000,601318.SH,201708280031
120,26.3808,Sell,116,20170828,201708280117,27.48,4800.0,143000,600036.SH,201708280031
121,0.0,Buy,101010,20170904,101010,0.0,620.7847848555248,200000,601318.SH,101010
122,4.2832,Sell,120,20170904,201709040118,26.77,800.0,143000,600036.SH,201709040032
123,4.639573037817017,Sell,121,20170904,201709040119,55.13,420.7847848555248,143000,601318.SH,201709040032
124,21.28,Buy,119,20170904,201709040120,38.0,2800.0,143000,000651.SZ,201709040032
125,9.856,Sell,118,20170904,201709040121,492.8,100.0,143000,600519.SH,201709040032
126,2.1152,Buy,122,20170911,201709110122,26.44,400.0,143000,600036.SH,201709110033
127,3.2874000000000003,Sell,123,20170911,201709110123,54.79,300.0,143000,601318.SH,201709110033
128,29.877000000000002,Sell,124,20170918,201709180124,497.95,300.0,143000,600519.SH,201709180034
129,15.540000000000001,Buy,125,20170918,201709180125,25.9,3000.0,143000,600036.SH,201709180034
130,12.8784,Buy,126,20170918,201709180126,53.66,1200.0,143000,601318.SH,201709180034
131,13.4784,Buy,128,20170925,201709250127,25.92,2600.0,143000,600036.SH,201709250035
132,3.2574,Buy,129,20170925,201709250128,54.29,300.0,143000,601318.SH,201709250035
133,18.753600000000002,Sell,127,20170925,201709250129,39.07,2400.0,143000,000651.SZ,201709250035
